to_date('24/11/2021', 'mm/dd/yyyy')
to_date('27/03/2021', 'mm/dd/yyyy')
to_date('11/06/2022', 'mm/dd/yyyy')
to_date('14/04/2021', 'mm/dd/yyyy')
to_date('04/05/2021', 'mm/dd/yyyy')
to_date('25/07/2022', 'mm/dd/yyyy')
to_date('13/12/2021', 'mm/dd/yyyy')
to_date('09/11/2020', 'mm/dd/yyyy')
to_date('07/03/2021', 'mm/dd/yyyy')
to_date('20/08/2022', 'mm/dd/yyyy')
to_date('18/12/2021', 'mm/dd/yyyy')
to_date('07/01/2022', 'mm/dd/yyyy')
to_date('16/09/2021', 'mm/dd/yyyy')
to_date('21/04/2021', 'mm/dd/yyyy')
to_date('28/02/2021', 'mm/dd/yyyy')
to_date('15/07/2021', 'mm/dd/yyyy')
to_date('12/05/2022', 'mm/dd/yyyy')
to_date('23/08/2022', 'mm/dd/yyyy')
to_date('06/08/2022', 'mm/dd/yyyy')
to_date('27/09/2021', 'mm/dd/yyyy')
to_date('12/06/2022', 'mm/dd/yyyy')
to_date('07/05/2021', 'mm/dd/yyyy')
to_date('13/11/2021', 'mm/dd/yyyy')
to_date('08/01/2022', 'mm/dd/yyyy')
to_date('04/04/2022', 'mm/dd/yyyy')
to_date('20/12/2021', 'mm/dd/yyyy')
to_date('15/06/2022', 'mm/dd/yyyy')
to_date('13/03/2021', 'mm/dd/yyyy')
to_date('15/08/2022', 'mm/dd/yyyy')
to_date('21/09/2021', 'mm/dd/yyyy')
to_date('26/01/2022', 'mm/dd/yyyy')
to_date('28/06/2022', 'mm/dd/yyyy')
to_date('11/07/2021', 'mm/dd/yyyy')
to_date('30/09/2021', 'mm/dd/yyyy')
to_date('28/12/2021', 'mm/dd/yyyy')
to_date('09/06/2022', 'mm/dd/yyyy')
to_date('18/06/2022', 'mm/dd/yyyy')
to_date('16/08/2021', 'mm/dd/yyyy')
to_date('03/11/2021', 'mm/dd/yyyy')
to_date('09/10/2022', 'mm/dd/yyyy')
to_date('22/09/2021', 'mm/dd/yyyy')
to_date('27/05/2021', 'mm/dd/yyyy')
to_date('19/06/2022', 'mm/dd/yyyy')
to_date('14/01/2022', 'mm/dd/yyyy')
to_date('03/04/2021', 'mm/dd/yyyy')
to_date('02/08/2022', 'mm/dd/yyyy')
to_date('28/05/2022', 'mm/dd/yyyy')
to_date('13/09/2022', 'mm/dd/yyyy')
to_date('21/05/2021', 'mm/dd/yyyy')
to_date('08/09/2021', 'mm/dd/yyyy')
to_date('06/08/2021', 'mm/dd/yyyy')
to_date('19/03/2022', 'mm/dd/yyyy')
to_date('12/03/2022', 'mm/dd/yyyy')
to_date('19/01/2022', 'mm/dd/yyyy')
to_date('01/10/2022', 'mm/dd/yyyy')
to_date('29/03/2022', 'mm/dd/yyyy')
to_date('25/12/2021', 'mm/dd/yyyy')
to_date('28/09/2022', 'mm/dd/yyyy')
to_date('23/04/2021', 'mm/dd/yyyy')
to_date('20/05/2022', 'mm/dd/yyyy')
to_date('19/02/2022', 'mm/dd/yyyy')
to_date('31/07/2022', 'mm/dd/yyyy')
to_date('05/02/2021', 'mm/dd/yyyy')
to_date('07/03/2021', 'mm/dd/yyyy')
to_date('23/04/2021', 'mm/dd/yyyy')
to_date('12/08/2021', 'mm/dd/yyyy')
to_date('21/01/2022', 'mm/dd/yyyy')
to_date('25/05/2021', 'mm/dd/yyyy')
to_date('05/10/2022', 'mm/dd/yyyy')
to_date('03/04/2022', 'mm/dd/yyyy')
to_date('28/12/2020', 'mm/dd/yyyy')
to_date('25/10/2022', 'mm/dd/yyyy')
to_date('12/02/2022', 'mm/dd/yyyy')
to_date('20/03/2022', 'mm/dd/yyyy')
to_date('26/04/2022', 'mm/dd/yyyy')
to_date('29/07/2022', 'mm/dd/yyyy')
to_date('03/12/2021', 'mm/dd/yyyy')
to_date('02/06/2022', 'mm/dd/yyyy')
to_date('01/06/2021', 'mm/dd/yyyy')
to_date('05/11/2020', 'mm/dd/yyyy')
to_date('14/01/2022', 'mm/dd/yyyy')
to_date('23/04/2022', 'mm/dd/yyyy')
to_date('25/09/2022', 'mm/dd/yyyy')
to_date('03/05/2021', 'mm/dd/yyyy')
to_date('06/09/2022', 'mm/dd/yyyy')
to_date('29/07/2021', 'mm/dd/yyyy')
to_date('01/01/2021', 'mm/dd/yyyy')
to_date('08/09/2021', 'mm/dd/yyyy')
to_date('18/12/2021', 'mm/dd/yyyy')
to_date('26/02/2021', 'mm/dd/yyyy')
to_date('29/10/2021', 'mm/dd/yyyy')
to_date('17/06/2021', 'mm/dd/yyyy')
to_date('19/10/2021', 'mm/dd/yyyy')
to_date('20/11/2020', 'mm/dd/yyyy')
to_date('04/09/2022', 'mm/dd/yyyy')
to_date('06/09/2022', 'mm/dd/yyyy')
to_date('23/09/2021', 'mm/dd/yyyy')
to_date('04/09/2022', 'mm/dd/yyyy')
to_date('22/06/2021', 'mm/dd/yyyy')
to_date('19/09/2021', 'mm/dd/yyyy')
to_date('29/04/2022', 'mm/dd/yyyy')
to_date('08/02/2022', 'mm/dd/yyyy')
to_date('11/03/2021', 'mm/dd/yyyy')
to_date('31/05/2021', 'mm/dd/yyyy')
to_date('14/12/2021', 'mm/dd/yyyy')
to_date('25/07/2022', 'mm/dd/yyyy')
to_date('30/06/2022', 'mm/dd/yyyy')
to_date('31/07/2021', 'mm/dd/yyyy')
to_date('10/08/2022', 'mm/dd/yyyy')
to_date('13/12/2020', 'mm/dd/yyyy')
to_date('30/10/2020', 'mm/dd/yyyy')
to_date('07/05/2021', 'mm/dd/yyyy')
to_date('04/03/2022', 'mm/dd/yyyy')
to_date('28/11/2021', 'mm/dd/yyyy')
to_date('26/06/2021', 'mm/dd/yyyy')
to_date('25/08/2022', 'mm/dd/yyyy')
to_date('19/04/2022', 'mm/dd/yyyy')
to_date('24/03/2022', 'mm/dd/yyyy')
to_date('04/01/2022', 'mm/dd/yyyy')
to_date('10/09/2021', 'mm/dd/yyyy')
to_date('15/09/2022', 'mm/dd/yyyy')
to_date('20/04/2021', 'mm/dd/yyyy')
to_date('23/12/2020', 'mm/dd/yyyy')
to_date('28/08/2021', 'mm/dd/yyyy')
to_date('30/09/2021', 'mm/dd/yyyy')
to_date('07/02/2022', 'mm/dd/yyyy')
to_date('30/01/2022', 'mm/dd/yyyy')
to_date('02/04/2021', 'mm/dd/yyyy')
to_date('26/09/2021', 'mm/dd/yyyy')
to_date('25/06/2022', 'mm/dd/yyyy')
to_date('02/10/2021', 'mm/dd/yyyy')
to_date('16/03/2022', 'mm/dd/yyyy')
to_date('06/02/2022', 'mm/dd/yyyy')
to_date('13/08/2021', 'mm/dd/yyyy')
to_date('30/06/2021', 'mm/dd/yyyy')
to_date('05/11/2021', 'mm/dd/yyyy')
to_date('01/11/2020', 'mm/dd/yyyy')
to_date('28/09/2022', 'mm/dd/yyyy')
to_date('05/08/2022', 'mm/dd/yyyy')
to_date('05/03/2022', 'mm/dd/yyyy')
to_date('24/10/2021', 'mm/dd/yyyy')
to_date('15/05/2021', 'mm/dd/yyyy')
to_date('31/08/2022', 'mm/dd/yyyy')
to_date('18/05/2022', 'mm/dd/yyyy')
to_date('04/11/2020', 'mm/dd/yyyy')
to_date('28/05/2022', 'mm/dd/yyyy')
